# LCSC part numbers the project has chosen, keyed by value and footprint as
# the board files write them. tools/export_3d.py joins this into
# img/3d/<board>.parts.json for the 3D viewer's part pane; a footprint's own
# "LCSC" field, if the schematic ever carries one, wins over this table.
#
# Every part the assembler places has a row (export_3d.py warns about one
# that does not). The first twelve are the README's sourcing notes; the rest
# were chosen 2026-09-24 -- from the sister board's BOM where it had the part,
# JLC basic parts where the rating allowed, and each checked against JLCPCB's
# library (model, package, rating, stock) that day. The C-number is the same
# at LCSC and JLCPCB. Notes say why where it was not obvious.
value,footprint,lcsc,mpn,note
INA241A3,TSOT-23-8,C6051860,INA241A3IDDFR,50 V/V
SIT3088ETK,DFN-8_L3.0-W3.0-P0.65-BL-EP,C601076,SIT3088ETK,the sister board's part (rp2350-motor-controller)
12MHz,Crystal_SMD_2520-4Pin_2.5x2.0mm,C284156,TXM12M0004252LBCEO00T,"CL 20 pF, 10 ppm: the 27 pF caps load it at about 16.5-18.5 pF"
RGB,LED_RGB_1210,C2827321,S4-3528RGBTA-A,"common anode, 3.5 x 2.8, pads match; PLACE ROTATED 180 deg: its pads 1-4 are B-K, A, G-K, R-K"
USB-C,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,TYPE-C-31-M-12,HRO
BOOTSEL,SW_SPST_B3U-1000P,C231329,B3U-1000P,Omron
RS485 IN,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,C3029345,WAFER-SH1.0-6PWB,SH-compatible; JST's own C160405 had 3 in stock; check its land pattern against the footprint
RS485 OUT,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,C3029345,WAFER-SH1.0-6PWB,SH-compatible; JST's own C160405 had 3 in stock; check its land pattern against the footprint
EXPANSION,PinHeader_2x10_P1.27mm_Vertical_SMD,C59981,1.27-2*10PVertical SMD Pin,3 A per pin
SIG_LINK,PinHeader_2x14_P1.27mm_Vertical_SMD,C41427103,A127M05-0B28P51-H10A40,the only 2x14 1.27 mm SMD male header at JLCPCB; 50 in stock 2026-09-24
PWR_LINK,PinHeader_2x05_P2.54mm_Vertical,C32713278,HX PZ2.54-2x5P ZZ,"3 A per pin, gold"
